,Year,Continent,Disaster Type,Number of Disasters,Difference from Previous Year,% Difference from Previous Year
539,1999,Americas,Drought,4,-7.0,-63.63636363636363
540,1999,Americas,Flood,23,-11.0,-32.35294117647059
541,1999,Americas,Landslide,4,2.0,100.0
542,1999,Americas,Storm,35,26.0,288.88888888888886
543,1999,Americas,Wildfire,10,9.0,900.0
544,1999,Asia,Drought,9,5.0,125.0
545,1999,Asia,Flood,46,23.0,100.0
546,1999,Asia,Landslide,8,4.0,100.0
547,1999,Asia,Storm,33,-2.0,-5.714285714285714
548,1999,Asia,Wildfire,6,-4.0,-40.0
549,1999,Europe,Drought,1,-8.0,-88.88888888888889
550,1999,Europe,Flood,17,-29.0,-63.04347826086957
551,1999,Europe,Landslide,6,-2.0,-25.0
552,1999,Europe,Storm,22,-11.0,-33.33333333333333
553,1999,Europe,Wildfire,4,-2.0,-33.33333333333333
554,1999,Oceania,Drought,1,0.0,0.0
555,1999,Oceania,Flood,2,-15.0,-88.23529411764706
556,1999,Oceania,Storm,7,-15.0,-68.18181818181817
557,1999,Oceania,Wildfire,1,-3.0,-75.0
558,2000,Africa,Drought,1,0.0,0.0
559,2000,Africa,Flood,37,35.0,1750.0
560,2000,Africa,Landslide,4,-2.0,-33.33333333333333
561,2000,Africa,Storm,13,6.0,85.71428571428571
562,2000,Africa,Wildfire,2,1.0,100.0
563,2000,Americas,Drought,7,6.0,600.0
564,2000,Americas,Flood,39,2.0,5.405405405405405
565,2000,Americas,Landslide,6,2.0,50.0
566,2000,Americas,Storm,22,9.0,69.23076923076923
567,2000,Americas,Wildfire,9,7.0,350.0
568,2000,Asia,Drought,13,6.0,85.71428571428571
569,2000,Asia,Flood,45,6.0,15.384615384615385
570,2000,Asia,Landslide,13,7.0,116.66666666666667
571,2000,Asia,Storm,48,26.0,118.18181818181819
572,2000,Asia,Wildfire,5,-4.0,-44.44444444444444
573,2000,Europe,Drought,4,-9.0,-69.23076923076923
574,2000,Europe,Flood,33,-12.0,-26.666666666666668
575,2000,Europe,Landslide,5,-8.0,-61.53846153846154
576,2000,Europe,Storm,15,-33.0,-68.75
577,2000,Europe,Wildfire,13,8.0,160.0
578,2000,Oceania,Flood,3,-30.0,-90.9090909090909
579,2000,Oceania,Storm,4,-11.0,-73.33333333333333
580,2000,Oceania,Wildfire,1,-12.0,-92.3076923076923
581,2001,Africa,Drought,12,8.0,200.0
582,2001,Africa,Flood,36,33.0,1100.0
583,2001,Africa,Landslide,3,-2.0,-40.0
584,2001,Africa,Storm,6,2.0,50.0
585,2001,Africa,Wildfire,2,1.0,100.0
586,2001,Americas,Drought,5,-7.0,-58.333333333333336
587,2001,Americas,Flood,29,-7.0,-19.444444444444446
588,2001,Americas,Landslide,3,0.0,0.0
589,2001,Americas,Storm,39,33.0,550.0
590,2001,Americas,Wildfire,6,4.0,200.0
591,2001,Asia,Drought,5,0.0,0.0
592,2001,Asia,Flood,62,33.0,113.79310344827587
593,2001,Asia,Landslide,18,15.0,500.0
594,2001,Asia,Storm,44,5.0,12.82051282051282
595,2001,Europe,Flood,25,-37.0,-59.67741935483871
596,2001,Europe,Storm,8,-36.0,-81.81818181818183
597,2001,Europe,Wildfire,4,-2.0,-33.33333333333333
598,2001,Oceania,Flood,5,-20.0,-80.0
599,2001,Oceania,Storm,8,0.0,0.0
600,2001,Oceania,Wildfire,2,-2.0,-50.0
601,2002,Africa,Drought,9,4.0,80.0
602,2002,Africa,Flood,32,27.0,540.0
603,2002,Africa,Landslide,1,-17.0,-94.44444444444444
604,2002,Africa,Storm,14,6.0,75.0
605,2002,Africa,Wildfire,2,0.0,0.0
606,2002,Americas,Drought,5,-4.0,-44.44444444444444
607,2002,Americas,Flood,41,9.0,28.125
608,2002,Americas,Landslide,4,3.0,300.0
609,2002,Americas,Storm,35,21.0,150.0
610,2002,Americas,Wildfire,12,10.0,500.0
611,2002,Asia,Drought,8,3.0,60.0
612,2002,Asia,Flood,59,18.0,43.90243902439025
613,2002,Asia,Landslide,11,7.0,175.0
614,2002,Asia,Storm,42,7.0,20.0
615,2002,Asia,Wildfire,4,-8.0,-66.66666666666666
616,2002,Europe,Drought,1,-7.0,-87.5
617,2002,Europe,Flood,38,-21.0,-35.59322033898305
618,2002,Europe,Landslide,3,-8.0,-72.72727272727273
619,2002,Europe,Storm,22,-20.0,-47.61904761904761
620,2002,Europe,Wildfire,3,-1.0,-25.0
621,2002,Oceania,Drought,1,0.0,0.0
622,2002,Oceania,Flood,2,-36.0,-94.73684210526315
623,2002,Oceania,Landslide,1,-2.0,-66.66666666666666
624,2002,Oceania,Storm,9,-13.0,-59.09090909090909
625,2002,Oceania,Wildfire,1,-2.0,-66.66666666666666
626,2003,Africa,Drought,5,4.0,400.0
627,2003,Africa,Flood,40,38.0,1900.0
628,2003,Africa,Landslide,1,0.0,0.0
629,2003,Africa,Storm,11,2.0,22.22222222222222
630,2003,Americas,Drought,2,-3.0,-60.0
631,2003,Americas,Flood,41,1.0,2.5
632,2003,Americas,Landslide,5,4.0,400.0
633,2003,Americas,Storm,23,12.0,109.09090909090908
634,2003,Americas,Wildfire,7,6.0,600.0
635,2003,Asia,Drought,3,1.0,50.0
636,2003,Asia,Flood,57,16.0,39.02439024390244
637,2003,Asia,Landslide,13,8.0,160.0
638,2003,Asia,Storm,34,11.0,47.82608695652174
639,2003,Asia,Wildfire,1,-6.0,-85.71428571428571
640,2003,Europe,Drought,4,1.0,33.33333333333333
641,2003,Europe,Flood,15,-42.0,-73.68421052631578
642,2003,Europe,Storm,7,-27.0,-79.41176470588235
643,2003,Europe,Wildfire,5,4.0,400.0
644,2003,Oceania,Flood,5,-10.0,-66.66666666666666
645,2003,Oceania,Landslide,2,-11.0,-84.61538461538461
646,2003,Oceania,Storm,11,4.0,57.14285714285714
647,2003,Oceania,Wildfire,1,-4.0,-80.0
648,2004,Africa,Drought,5,1.0,25.0
649,2004,Africa,Flood,26,21.0,420.0
650,2004,Africa,Storm,7,-4.0,-36.36363636363637
651,2004,Africa,Wildfire,1,0.0,0.0
652,2004,Americas,Drought,5,0.0,0.0
653,2004,Americas,Flood,25,-1.0,-3.8461538461538463
654,2004,Americas,Landslide,3,1.0,50.0
655,2004,Americas,Storm,40,33.0,471.42857142857144
656,2004,Americas,Wildfire,3,2.0,200.0
657,2004,Asia,Flood,56,31.0,124.0
658,2004,Asia,Landslide,12,9.0,300.0
659,2004,Asia,Storm,51,11.0,27.500000000000004
660,2004,Asia,Wildfire,1,-2.0,-66.66666666666666
661,2004,Europe,Drought,1,-4.0,-80.0
662,2004,Europe,Flood,14,-42.0,-75.0
663,2004,Europe,Storm,13,-38.0,-74.50980392156863
664,2004,Europe,Wildfire,3,2.0,200.0
665,2004,Oceania,Flood,7,-7.0,-50.0
666,2004,Oceania,Storm,13,0.0,0.0
667,2005,Africa,Drought,13,12.0,1200.0
668,2005,Africa,Flood,32,25.0,357.14285714285717
669,2005,Africa,Storm,6,-7.0,-53.84615384615385
670,2005,Americas,Drought,2,-11.0,-84.61538461538461
671,2005,Americas,Flood,34,2.0,6.25
672,2005,Americas,Landslide,2,-10.0,-83.33333333333334
673,2005,Americas,Storm,44,38.0,633.3333333333333
674,2005,Americas,Wildfire,5,2.0,66.66666666666666
675,2005,Asia,Drought,5,3.0,150.0
676,2005,Asia,Flood,84,50.0,147.05882352941177
677,2005,Asia,Landslide,10,8.0,400.0
678,2005,Asia,Storm,47,3.0,6.8181818181818175
679,2005,Asia,Wildfire,4,-1.0,-20.0
680,2005,Europe,Flood,39,-45.0,-53.57142857142857
681,2005,Europe,Landslide,1,-9.0,-90.0
682,2005,Europe,Storm,26,-21.0,-44.680851063829785
683,2005,Europe,Wildfire,3,-1.0,-25.0
684,2005,Oceania,Flood,4,-35.0,-89.74358974358975
685,2005,Oceania,Storm,7,-19.0,-73.07692307692307
686,2005,Oceania,Wildfire,1,-2.0,-66.66666666666666
687,2006,Africa,Drought,3,-2.0,-40.0
688,2006,Africa,Flood,56,52.0,1300.0
689,2006,Africa,Landslide,1,0.0,0.0
690,2006,Africa,Storm,5,-2.0,-28.57142857142857
691,2006,Americas,Drought,1,-2.0,-66.66666666666666
692,2006,Americas,Flood,36,-20.0,-35.714285714285715
693,2006,Americas,Landslide,2,1.0,100.0
694,2006,Americas,Storm,17,12.0,240.0
695,2006,Americas,Wildfire,4,3.0,300.0
696,2006,Asia,Drought,3,2.0,200.0
697,2006,Asia,Flood,99,63.0,175.0
698,2006,Asia,Landslide,14,12.0,600.0
699,2006,Asia,Storm,41,24.0,141.1764705882353
700,2006,Asia,Wildfire,1,-3.0,-75.0
701,2006,Europe,Drought,1,-2.0,-66.66666666666666
702,2006,Europe,Flood,30,-69.0,-69.6969696969697
703,2006,Europe,Landslide,1,-13.0,-92.85714285714286
704,2006,Europe,Storm,9,-32.0,-78.04878048780488
705,2006,Europe,Wildfire,1,0.0,0.0
706,2006,Oceania,Drought,1,0.0,0.0
707,2006,Oceania,Flood,5,-25.0,-83.33333333333334
708,2006,Oceania,Landslide,2,1.0,100.0
709,2006,Oceania,Storm,4,-5.0,-55.55555555555556
710,2006,Oceania,Wildfire,3,2.0,200.0
711,2007,Africa,Drought,6,5.0,500.0
712,2007,Africa,Flood,64,59.0,1180.0
713,2007,Africa,Landslide,1,-1.0,-50.0
714,2007,Africa,Storm,9,5.0,125.0
715,2007,Africa,Wildfire,3,0.0,0.0
716,2007,Americas,Drought,2,-4.0,-66.66666666666666
717,2007,Americas,Flood,39,-25.0,-39.0625
718,2007,Americas,Landslide,2,1.0,100.0
719,2007,Americas,Storm,40,31.0,344.44444444444446
720,2007,Americas,Wildfire,4,1.0,33.33333333333333
721,2007,Asia,Drought,2,0.0,0.0
722,2007,Asia,Flood,93,54.0,138.46153846153845
723,2007,Asia,Landslide,7,5.0,250.0
724,2007,Asia,Storm,29,-11.0,-27.500000000000004
725,2007,Asia,Wildfire,1,-3.0,-75.0
726,2007,Europe,Drought,1,-1.0,-50.0
727,2007,Europe,Flood,19,-74.0,-79.56989247311827
728,2007,Europe,Storm,22,-7.0,-24.137931034482758
729,2007,Europe,Wildfire,10,9.0,900.0
730,2007,Oceania,Flood,3,-16.0,-84.21052631578947
731,2007,Oceania,Storm,5,-17.0,-77.27272727272727
732,2008,Africa,Drought,9,8.0,800.0
733,2008,Africa,Flood,47,44.0,1466.6666666666665
734,2008,Africa,Landslide,1,-6.0,-85.71428571428571
735,2008,Africa,Storm,10,5.0,100.0
736,2008,Africa,Wildfire,2,-8.0,-80.0
737,2008,Americas,Drought,2,-7.0,-77.77777777777779
738,2008,Americas,Flood,35,-12.0,-25.53191489361702
739,2008,Americas,Landslide,3,2.0,200.0
740,2008,Americas,Storm,44,34.0,340.0
741,2008,Americas,Wildfire,2,0.0,0.0
742,2008,Asia,Drought,5,3.0,150.0
743,2008,Asia,Flood,65,30.0,85.71428571428571
744,2008,Asia,Landslide,8,5.0,166.66666666666669
745,2008,Asia,Storm,42,-2.0,-4.545454545454546
746,2008,Asia,Wildfire,1,-1.0,-50.0
747,2008,Europe,Flood,9,-56.0,-86.15384615384616
748,2008,Europe,Storm,13,-29.0,-69.04761904761905
749,2008,Oceania,Flood,9,0.0,0.0
750,2008,Oceania,Storm,2,-11.0,-84.61538461538461
751,2009,Africa,Drought,5,0.0,0.0
752,2009,Africa,Flood,45,36.0,400.0
753,2009,Africa,Landslide,1,-7.0,-87.5
754,2009,Africa,Storm,13,11.0,550.0
755,2009,Africa,Wildfire,1,0.0,0.0
756,2009,Americas,Drought,7,2.0,40.0
757,2009,Americas,Flood,34,-11.0,-24.444444444444443
758,2009,Americas,Landslide,8,7.0,700.0
759,2009,Americas,Storm,19,6.0,46.15384615384615
760,2009,Americas,Wildfire,2,1.0,100.0
761,2009,Asia,Drought,6,-1.0,-14.285714285714285
762,2009,Asia,Flood,52,18.0,52.94117647058824
763,2009,Asia,Landslide,19,11.0,137.5
764,2009,Asia,Storm,43,24.0,126.3157894736842
765,2009,Europe,Flood,15,-37.0,-71.15384615384616
766,2009,Europe,Storm,9,-34.0,-79.06976744186046
767,2009,Europe,Wildfire,5,3.0,150.0
768,2009,Oceania,Flood,5,-10.0,-66.66666666666666
769,2009,Oceania,Landslide,1,-18.0,-94.73684210526315
770,2009,Oceania,Storm,3,-6.0,-66.66666666666666
771,2009,Oceania,Wildfire,1,-4.0,-80.0
772,2010,Africa,Drought,10,4.0,66.66666666666666
773,2010,Africa,Flood,52,47.0,940.0
774,2010,Africa,Landslide,7,6.0,600.0
775,2010,Africa,Storm,6,3.0,100.0
776,2010,Africa,Wildfire,1,0.0,0.0
777,2010,Americas,Drought,8,-2.0,-20.0
778,2010,Americas,Flood,33,-19.0,-36.53846153846153
779,2010,Americas,Landslide,6,-1.0,-14.285714285714285
780,2010,Americas,Storm,37,31.0,516.6666666666667
781,2010,Americas,Wildfire,2,1.0,100.0
782,2010,Asia,Drought,2,-6.0,-75.0
783,2010,Asia,Flood,61,28.0,84.84848484848484
784,2010,Asia,Landslide,19,13.0,216.66666666666666
785,2010,Asia,Storm,30,-7.0,-18.91891891891892
786,2010,Asia,Wildfire,2,0.0,0.0
787,2010,Europe,Drought,1,-1.0,-50.0
788,2010,Europe,Flood,32,-29.0,-47.540983606557376
789,2010,Europe,Storm,14,-16.0,-53.333333333333336
790,2010,Europe,Wildfire,2,0.0,0.0
791,2010,Oceania,Flood,6,-26.0,-81.25
792,2010,Oceania,Storm,7,-7.0,-50.0
793,2011,Africa,Drought,11,10.0,1000.0
794,2011,Africa,Flood,44,38.0,633.3333333333333
795,2011,Africa,Storm,9,2.0,28.57142857142857
796,2011,Americas,Drought,2,-9.0,-81.81818181818183
797,2011,Americas,Flood,39,-5.0,-11.363636363636363
798,2011,Americas,Landslide,4,-15.0,-78.94736842105263
799,2011,Americas,Storm,33,24.0,266.66666666666663
800,2011,Americas,Wildfire,7,5.0,250.0
801,2011,Asia,Drought,2,0.0,0.0
802,2011,Asia,Flood,63,24.0,61.53846153846154
803,2011,Asia,Landslide,12,8.0,200.0
804,2011,Asia,Storm,31,-2.0,-6.0606060606060606
805,2011,Europe,Flood,9,-54.0,-85.71428571428571
806,2011,Europe,Landslide,1,-11.0,-91.66666666666666
807,2011,Europe,Storm,5,-26.0,-83.87096774193549
808,2011,Oceania,Drought,1,-1.0,-50.0
809,2011,Oceania,Flood,1,-8.0,-88.88888888888889
810,2011,Oceania,Storm,6,1.0,20.0
811,2011,Oceania,Wildfire,1,-6.0,-85.71428571428571
812,2012,Africa,Drought,5,4.0,400.0
813,2012,Africa,Flood,29,28.0,2800.0
814,2012,Africa,Landslide,1,0.0,0.0
815,2012,Africa,Storm,11,5.0,83.33333333333334
816,2012,Americas,Drought,6,1.0,20.0
817,2012,Americas,Flood,24,-5.0,-17.24137931034483
818,2012,Americas,Landslide,1,0.0,0.0
819,2012,Americas,Storm,35,24.0,218.18181818181816
820,2012,Americas,Wildfire,4,3.0,300.0
821,2012,Asia,Drought,3,-3.0,-50.0
822,2012,Asia,Flood,62,38.0,158.33333333333331
823,2012,Asia,Landslide,10,9.0,900.0
824,2012,Asia,Storm,39,4.0,11.428571428571429
825,2012,Europe,Drought,4,1.0,33.33333333333333
826,2012,Europe,Flood,15,-47.0,-75.80645161290323
827,2012,Europe,Storm,1,-38.0,-97.43589743589743
828,2012,Europe,Wildfire,2,-2.0,-50.0
829,2012,Oceania,Flood,6,-9.0,-60.0
830,2012,Oceania,Landslide,1,-9.0,-90.0
831,2012,Oceania,Storm,5,4.0,400.0
832,2013,Africa,Drought,2,-2.0,-50.0
833,2013,Africa,Flood,34,28.0,466.6666666666667
834,2013,Africa,Storm,6,1.0,20.0
835,2013,Africa,Wildfire,2,0.0,0.0
836,2013,Americas,Drought,4,2.0,100.0
837,2013,Americas,Flood,29,-5.0,-14.705882352941178
838,2013,Americas,Landslide,3,2.0,200.0
839,2013,Americas,Storm,23,17.0,283.33333333333337
840,2013,Americas,Wildfire,5,3.0,150.0
841,2013,Asia,Drought,1,-3.0,-75.0
842,2013,Asia,Flood,67,38.0,131.0344827586207
843,2013,Asia,Landslide,8,5.0,166.66666666666669
844,2013,Asia,Storm,50,27.0,117.3913043478261
845,2013,Europe,Flood,16,-51.0,-76.11940298507463
846,2013,Europe,Storm,23,-27.0,-54.0
847,2013,Europe,Wildfire,1,-4.0,-80.0
848,2013,Oceania,Drought,2,1.0,100.0
849,2013,Oceania,Flood,2,-14.0,-87.5
850,2013,Oceania,Storm,3,-20.0,-86.95652173913044
851,2013,Oceania,Wildfire,2,1.0,100.0
852,2014,Africa,Drought,5,3.0,150.0
853,2014,Africa,Flood,20,18.0,900.0
854,2014,Africa,Landslide,1,-7.0,-87.5
855,2014,Africa,Storm,6,3.0,100.0
856,2014,Americas,Drought,10,5.0,100.0
857,2014,Americas,Flood,30,10.0,50.0
858,2014,Americas,Landslide,3,2.0,200.0
859,2014,Americas,Storm,21,15.0,250.0
860,2014,Americas,Wildfire,2,0.0,0.0
861,2014,Asia,Drought,5,-5.0,-50.0
862,2014,Asia,Flood,55,25.0,83.33333333333334
863,2014,Asia,Landslide,11,8.0,266.66666666666663
864,2014,Asia,Storm,53,32.0,152.38095238095238
865,2014,Europe,Flood,28,-27.0,-49.09090909090909
866,2014,Europe,Storm,15,-38.0,-71.69811320754717
867,2014,Oceania,Flood,4,-24.0,-85.71428571428571
868,2014,Oceania,Storm,4,-11.0,-73.33333333333333
869,2014,Oceania,Wildfire,2,0.0,0.0
870,2015,Africa,Drought,9,4.0,80.0
871,2015,Africa,Flood,30,26.0,650.0
872,2015,Africa,Landslide,2,-9.0,-81.81818181818183
873,2015,Africa,Storm,11,7.0,175.0
874,2015,Africa,Wildfire,1,-1.0,-50.0
875,2015,Americas,Drought,4,-5.0,-55.55555555555556
876,2015,Americas,Flood,38,8.0,26.666666666666668
877,2015,Americas,Landslide,3,1.0,50.0
878,2015,Americas,Storm,31,20.0,181.8181818181818
879,2015,Americas,Wildfire,7,6.0,600.0
880,2015,Asia,Drought,7,3.0,75.0
881,2015,Asia,Flood,69,31.0,81.57894736842105
882,2015,Asia,Landslide,15,12.0,400.0
883,2015,Asia,Storm,62,31.0,100.0
884,2015,Asia,Wildfire,1,-6.0,-85.71428571428571
885,2015,Europe,Flood,20,-49.0,-71.01449275362319
886,2015,Europe,Storm,5,-57.0,-91.93548387096774
887,2015,Europe,Wildfire,1,0.0,0.0
888,2015,Oceania,Drought,7,0.0,0.0
889,2015,Oceania,Flood,4,-16.0,-80.0
890,2015,Oceania,Storm,12,7.0,140.0
891,2015,Oceania,Wildfire,3,2.0,200.0
892,2016,Africa,Drought,6,-1.0,-14.285714285714285
893,2016,Africa,Flood,32,28.0,700.0
894,2016,Africa,Landslide,2,-13.0,-86.66666666666667
895,2016,Africa,Storm,4,-8.0,-66.66666666666666
896,2016,Americas,Drought,3,-3.0,-50.0
897,2016,Americas,Flood,37,5.0,15.625
898,2016,Americas,Landslide,1,-1.0,-50.0
899,2016,Americas,Storm,31,27.0,675.0
900,2016,Americas,Wildfire,5,2.0,66.66666666666666
901,2016,Asia,Drought,4,1.0,33.33333333333333
902,2016,Asia,Flood,69,32.0,86.48648648648648
903,2016,Asia,Landslide,10,9.0,900.0
904,2016,Asia,Storm,43,12.0,38.70967741935484
905,2016,Asia,Wildfire,3,-2.0,-40.0
906,2016,Europe,Flood,19,-50.0,-72.46376811594203
907,2016,Europe,Storm,2,-41.0,-95.34883720930233
908,2016,Europe,Wildfire,1,-2.0,-66.66666666666666
909,2016,Oceania,Drought,1,-3.0,-75.0
910,2016,Oceania,Flood,3,-16.0,-84.21052631578947
911,2016,Oceania,Storm,6,4.0,200.0
912,2016,Oceania,Wildfire,1,0.0,0.0
913,2017,Africa,Drought,8,7.0,700.0
914,2017,Africa,Flood,22,19.0,633.3333333333333
915,2017,Africa,Landslide,3,-7.0,-70.0
916,2017,Africa,Storm,10,4.0,66.66666666666666
917,2017,Africa,Wildfire,2,1.0,100.0
918,2017,Americas,Drought,1,-7.0,-87.5
919,2017,Americas,Flood,32,10.0,45.45454545454545
920,2017,Americas,Landslide,5,2.0,66.66666666666666
921,2017,Americas,Storm,54,44.0,440.00000000000006
922,2017,Americas,Wildfire,5,3.0,150.0
923,2017,Asia,Drought,2,1.0,100.0
924,2017,Asia,Flood,63,31.0,96.875
925,2017,Asia,Landslide,17,12.0,240.0
926,2017,Asia,Storm,48,-6.0,-11.11111111111111
927,2017,Europe,Drought,1,-1.0,-50.0
928,2017,Europe,Flood,8,-55.0,-87.3015873015873
929,2017,Europe,Storm,14,-34.0,-70.83333333333334
930,2017,Europe,Wildfire,7,2.0,40.0
931,2017,Oceania,Flood,2,-6.0,-75.0
932,2017,Oceania,Storm,4,-10.0,-71.42857142857143
933,2017,Oceania,Wildfire,1,-6.0,-85.71428571428571
934,2018,Africa,Drought,3,2.0,200.0
935,2018,Africa,Flood,30,28.0,1400.0
936,2018,Africa,Landslide,5,-12.0,-70.58823529411765
937,2018,Africa,Storm,7,3.0,75.0
938,2018,Americas,Drought,9,6.0,200.0
939,2018,Americas,Flood,26,-4.0,-13.333333333333334
940,2018,Americas,Landslide,2,-3.0,-60.0
941,2018,Americas,Storm,19,12.0,171.42857142857142
942,2018,Americas,Wildfire,4,3.0,300.0
943,2018,Asia,Drought,2,-7.0,-77.77777777777779
944,2018,Asia,Flood,57,31.0,119.23076923076923
945,2018,Asia,Landslide,6,4.0,200.0
946,2018,Asia,Storm,51,32.0,168.42105263157893
947,2018,Asia,Wildfire,1,-3.0,-75.0
948,2018,Europe,Drought,2,0.0,0.0
949,2018,Europe,Flood,13,-44.0,-77.19298245614034
950,2018,Europe,Storm,13,-38.0,-74.50980392156863
951,2018,Europe,Wildfire,5,4.0,400.0
952,2018,Oceania,Drought,1,-1.0,-50.0
953,2018,Oceania,Flood,2,-11.0,-84.61538461538461
954,2018,Oceania,Storm,7,-6.0,-46.15384615384615
955,2019,Africa,Drought,7,6.0,600.0
956,2019,Africa,Flood,58,56.0,2800.0
957,2019,Africa,Landslide,12,6.0,100.0
958,2019,Africa,Storm,11,4.0,57.14285714285714
959,2019,Africa,Wildfire,1,-4.0,-80.0
960,2019,Americas,Drought,1,-6.0,-85.71428571428571
961,2019,Americas,Flood,39,-19.0,-32.758620689655174
962,2019,Americas,Landslide,4,-8.0,-66.66666666666666
963,2019,Americas,Storm,22,11.0,100.0
964,2019,Americas,Wildfire,7,6.0,600.0
965,2019,Asia,Drought,7,6.0,600.0
966,2019,Asia,Flood,80,41.0,105.12820512820514
967,2019,Asia,Landslide,7,3.0,75.0
968,2019,Asia,Storm,36,14.0,63.63636363636363
969,2019,Asia,Wildfire,3,-4.0,-57.14285714285714
970,2019,Europe,Flood,17,-63.0,-78.75
971,2019,Europe,Landslide,1,-6.0,-85.71428571428571
972,2019,Europe,Storm,20,-16.0,-44.44444444444444
973,2019,Europe,Wildfire,1,-2.0,-66.66666666666666
974,2019,Oceania,Flood,2,-15.0,-88.23529411764706
975,2019,Oceania,Landslide,1,0.0,0.0
976,2019,Oceania,Storm,2,-18.0,-90.0
977,2019,Oceania,Wildfire,2,1.0,100.0
978,2020,Africa,Drought,7,0.0,0.0
979,2020,Africa,Flood,65,63.0,3150.0
980,2020,Africa,Landslide,2,1.0,100.0
981,2020,Africa,Storm,5,3.0,150.0
982,2020,Americas,Drought,2,-5.0,-71.42857142857143
983,2020,Americas,Flood,27,-38.0,-58.46153846153847
984,2020,Americas,Landslide,3,1.0,50.0
985,2020,Americas,Storm,51,46.0,919.9999999999999
986,2020,Americas,Wildfire,1,-1.0,-50.0
987,2020,Asia,Flood,88,61.0,225.9259259259259
988,2020,Asia,Landslide,10,7.0,233.33333333333334
989,2020,Asia,Storm,46,-5.0,-9.803921568627452
990,2020,Asia,Wildfire,4,3.0,300.0
991,2020,Europe,Flood,15,-73.0,-82.95454545454545
992,2020,Europe,Landslide,2,-8.0,-80.0
993,2020,Europe,Storm,17,-29.0,-63.04347826086957
994,2020,Europe,Wildfire,2,-2.0,-50.0
995,2020,Oceania,Flood,6,-9.0,-60.0
996,2020,Oceania,Landslide,2,0.0,0.0
997,2020,Oceania,Storm,9,-8.0,-47.05882352941176
998,2020,Oceania,Wildfire,1,-1.0,-50.0
999,2021,Africa,Drought,4,2.0,100.0
1000,2021,Africa,Flood,27,21.0,350.0
1001,2021,Africa,Storm,9,0.0,0.0
1002,2021,Africa,Wildfire,2,1.0,100.0
1003,2021,Americas,Flood,54,27.0,100.0
1004,2021,Americas,Storm,30,21.0,233.33333333333334
1005,2021,Americas,Wildfire,6,4.0,200.0
1006,2021,Asia,Drought,5,1.0,25.0
1007,2021,Asia,Flood,53,-1.0,-1.8518518518518516
1008,2021,Asia,Landslide,9,7.0,350.0
1009,2021,Asia,Storm,30,0.0,0.0
1010,2021,Asia,Wildfire,2,-4.0,-66.66666666666666
1011,2021,Europe,Flood,21,-32.0,-60.37735849056604
1012,2021,Europe,Landslide,1,-8.0,-88.88888888888889
1013,2021,Europe,Storm,8,-22.0,-73.33333333333333
1014,2021,Europe,Wildfire,5,3.0,150.0
1015,2021,Oceania,Drought,1,-4.0,-80.0
1016,2021,Oceania,Flood,5,-16.0,-76.19047619047619
1017,2021,Oceania,Storm,6,-2.0,-25.0
1018,2021,Oceania,Wildfire,1,-4.0,-80.0
