,Year,Country,AverageTemperature,Continent,temperature_difference,% temp difference
37794,1971,Afghanistan,14.8235,Asia,0.04041666666666721,0.2726526573796149
37796,1971,Albania,12.534416666666669,Europe,-0.30524999999999736,-2.4352948215911976
37797,1971,Algeria,22.67225,Africa,-0.6505833333333335,-2.869513759478365
37798,1971,American Samoa,26.40225,Oceania,-0.3584166666666668,-1.3575231908896659
37799,1971,Andorra,11.192166666666669,Europe,-0.18441666666666556,-1.6477298110285366
37800,1971,Angola,21.837,Africa,-0.31283333333333374,-1.432583840881686
37801,1971,Anguilla,26.553416666666667,Americas,-0.3627500000000019,-1.366114216312409
37804,1971,Argentina,14.651166666666668,Americas,-0.5441666666666638,-3.7141524565734043
37805,1971,Armenia,9.105416666666668,Asia,-0.741166666666663,-8.139843499748276
37806,1971,Aruba,27.89,Americas,-0.47933333333333294,-1.7186566272260055
37808,1971,Australia,21.65433333333333,Oceania,-0.1214166666666685,-0.5607037852316019
37809,1971,Austria,6.449333333333333,Europe,0.5144999999999991,7.977568740955124
37810,1971,Azerbaijan,11.988583333333333,Asia,-0.2721666666666671,-2.2702154132751335
37811,1971,Bahamas,25.266333333333336,Americas,0.2276666666666678,0.9010672964023315
37812,1971,Bahrain,25.79116666666667,Asia,-0.543416666666662,-2.1069875344917652
37814,1971,Bangladesh,24.635166666666667,Asia,-0.5514166666666647,-2.238331382644044
37815,1971,Barbados,26.444916666666668,Americas,-0.32500000000000284,-1.2289696507520456
37816,1971,Belarus,6.38375,Europe,0.6196666666666673,9.706938189413233
37817,1971,Belgium,9.831166666666666,Europe,0.33216666666666583,3.378710563344457
37818,1971,Belize,25.25491666666667,Americas,0.11408333333333687,0.4517272214321443
37819,1971,Benin,27.15883333333333,Africa,-0.3660833333333322,-1.347934680552057
37820,1971,Bhutan,11.768416666666669,Asia,-0.33874999999999744,-2.878467083507388
37821,1971,Bolivia,20.73966666666667,Americas,-0.7765833333333312,-3.7444349796685796
37824,1971,Botswana,22.080916666666667,Africa,-0.774916666666666,-3.5094406557698736
37825,1971,Brazil,24.608500000000003,Americas,-0.5825833333333286,-2.367406925791204
