,Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Change in gdp per capita
71,Guinea-Bissau,370.185,"463,692","516,549","570,682","388,702","559,368","534,912","444,504","406,033","478,384","571,817","787,213","843,597","636,881","344,118","725,815","676,103","628,438","517,661","496,411","327,943","338,362","374,5","435,072","447,804","482,181","467,998","543,408","672,251","613,569","644,344","775,206","688,497","711,927","712,826","707,897","748,089","864,141","894,667","836,954","838,847","917,86","856,62",873.769,503.584
72,Guyana,1101.855,"1055,839","904,864","921,541","861,055","924,305","1053,703","982,258","1125,871","1146,242","950,968","1036,884","1145,783","1392,984","1626,898","1832,399","2048,527","2161,647","2035,856","2010,769","2017,2","2023,617","2092,961","2144,109","2232,996","2305,907","2551,768","2982,217","3329,637","3457,367","3837,303","4402,775","5360,276","5476,744","5402,703","5579,974","5796,819","6104,158","6120,536","6594,375","6952,702","9777,573","18744,631",21162.336,20060.481
73,Haiti,447.907,"484,33","494,856","521,763","567,915","619,461","676,077","327,179","212,61","192,614","240,23","211,528","124,533","147,025","397,214","618,383","626,299","706,797","773,837","847,945","794,059","720,822","684,333","540,556","660,218","773,35","794,79","991,684","1074,359","1168,747","1175,199","1269,346","1316,496","1408,807","1408,669","1359,209","1263,434","1337,16","1441,864","1277,213","1235,476","1765,242","1672,69",1791.914,1344.007
74,Honduras,1080.431,"1066,902","1091,787","1111,123","1183,298","1232,425","1287,141","1362,483","1469,405","1635,7","993,487","911,761","942,61","919,585","836,608","948,437","888,006","948,715","1023,398","1003,065","1093,106","1133,185","1134,068","1158,179","1217,816","1308,089","1430,056","1583,048","1739,357","1789,707","1904,346","2088,311","2144,337","2102,595","2206,056","2302,204","2342,024","2451,936","2506,62","2568,062","2396,648","2816,187","2969,35",3079.512,1999.0810000000001
75,Hong Kong SAR,5703.963,"5995,182","6139,013","5590,161","6170,503","6490,372","7380,118","9015,195","10527,458","12012,634","13374,312","15297,577","17710,506","20065,68","22194,005","23070,541","24698,956","27214,595","25649,085","24969,005","25574,491","25166,902","24731,081","23856,482","24873,898","26551,769","28028,157","30494,551","31487,94","30593,991","32421,361","34955,147","36623,745","38233,352","40185,303","42325,352","43488,204","46025,665","48310,038","48274,944","46443,583","49865,353","49699,594",52132.076,46428.113
76,Hungary,2151.468,"2207,127","2249,984","2046,399","1989,903","2022,961","2338,799","2582,847","2838,561","2909,702","3312,337","3350,242","3733,447","3871,071","4170,571","4491,215","4520,76","4591,492","4738,015","4786,245","4619,293","5269,607","6644,61","8410,769","10275,774","11188,448","11469,411","13904,826","15742,787","13035,623","13173,209","14195,846","12935,511","13665,526","14251,799","12690,167","13086,074","14608,721","16423,28","16731,469","16044,088","18732,38","18982,752",20118.669,17967.201
77,Iceland,15129.182,"15449,046","14003,083","11857,373","12130,436","12506,275","16571,593","22776,756","24820,302","22627,388","25629,431","27159,576","27357,171","23725,669","24117,987","26682,487","27713,605","28048,848","31219,801","32577,642","32344,364","29061,339","32516,441","39620,411","47579,937","57405,559","58238,886","70375,326","57296,251","41188,906","43293,021","47798,807","46159,8","50100,084","54864,159","53227,627","62530,419","73085,132","75374,147","69542,649","59578,822","69422,382","73981,336",77960.826,62831.644
78,India,271.031,"274,726","277,965","296,291","281,099","302,945","315,161","346,171","357,799","352,182","374,002","308,37","322,512","306,44","352,172","380,321","406,968","422,809","420,573","449,751","451,089","459,491","479,248","556,316","638,787","726,917","814,353","1046,898","1019,511","1121,248","1384,174","1458,106","1443,882","1449,61","1573,885","1605,605","1732,554","1980,668","1998,259","2072,246","1933,1","2279,514","2465,865",2691.196,2420.165
79,Indonesia,673.239,"736,992","741,946","659,474","672,201","658,217","610,234","562,902","621,934","696,874","770,757","847,573","907,767","1013,057","1115,613","1254,023","1394,497","1308,114","572,09","829,574","870,154","834,139","1002,907","1186,845","1280,696","1403,876","1764,79","2064,232","2418,043","2464,956","3178,133","3688,531","3744,53",3684,"3533,606","3367,691","3605,721","3885,465","3947,248","4194,086","3930,973","4361,16","4691,236",5005.483,4332.244000000001
80,Iran,2439.396,"2485,685","2965,579","3560,281","3531,17","3793,905","4225,457","5467,98","6009,203","7133,821","10661,483","5445,574","890,842","1121,078","1368,369","1941,99","2631,462","3018,96","3314,906","4400,622","5776,857","5124,766","2020,838","2353,361","2764,807","3291,94","3863,502","5045,686","5890,712","6016,8","6983,777","8322,46","5548,306","5561,453","5910,083","5172,134","5730,831","6005,051","6288,938","7842,602","11556,954","18739,308","23033,523",23619.064,21179.667999999998
82,Ireland,6252.207,"5886,368","6078,144","5839,832","5591,81","5934,548","7993,15","9419,506","10365,284","10754,616","13644,791","13748,196","15331,894","14262,798","15455,354","19086,797","20781,392","22468,61","24202,501","26233,712","26186,264","28120,1","32482,077","40940,136","47389,262","50476,482","53738,836","60770,052","60989,977","51943,467","48620,625","52122,087","49029,287","51472,086","55542,018","61902,659","62668,052","69685,259","78988,565","80690,152","85225,087","100129,453","102217,439",106997.402,100745.195
83,Israel,6356.512,"6687,246","7040,572","7688,749","7186,116","6562,369","7955,128","9349,086","11391,527","11394,325","13035,678","13924,043","15021,162","14708,299","16367,635","18927,89","20153,193","20410,422","20119,211","19766,941","21641,299","20918,337","19044,915","19634,852","20565,767","21233,796","22501,119","25647,697","30182,526","28330,228","31278,046","34366,858","33170,022","36957,353","38276,63","36221,118","37701,931","41131,719","42422,85","44466,798","44850,441","52151,927","55358,835",58273.435,51916.922999999995
84,Italy,8559.468,"7749,767","7652,888","7936,213","7840,76","8093,591","11461,158","14385,826","15934,159","16560,648","20651,767","21795,672","23116,604","18572,914","19149,546","20675,32","23094,426","21858,45","22348,051","22029,683","20153,067","20505,939","22386,279","27580,457","31342,833","32031,448","33448,085","37828,34","40818,96","36982,806","35815,593","38276,034","34743,751","35534,99","35836,161","30463,696","31190,776","32648,756","34917,563","33627,862","31707,096","35472,803","33739,75",33662.304,25102.835999999996
85,Jamaica,1214.379,"1310,503","1479,509","1289,23",948,"878,359","1034,771","1158,596","1372,734","1588,557","1971,695","1799,773","1804,411","2249,32","2234,803","2660,153","2975,134","3347,367","3467,544","3473,435","3510,575","3529,711","3709,572","3586,441","3855,674","4241,399","4494,63","4829,296","5134,246","4507,186","4894,369","5332,52","5448,456","5238,147","5105,511","5204,825","5183,462","5413,03","5729,757","5781,785","5102,762","5614,81","5870,1",5984.114,4769.735
86,Japan,9659,"10574,371","9772,809","10636,463","11205,352","11815,804","17466,671","21177,787","25575,098","25336,199","25895,956","29511,775","32069,069","36425,222","39953,195","44210,242","39164,322","35651,27","32436,923","36622,885","39172,963","34410,68","32832,296","35410,222","38307,096","37819,1","36021,9","35847,226","39992,06","41469,773","45135,796","48760,905","49175,054","40934,756","38522,771","35005,656","39411,424","38903,298","39850,367","40566,311","39981,484","39301,07","34357,864",35033.911,25374.911
87,Jordan,1694.589,"1835,938","1884,123","1899,891","1841,321","1778,343","2190,163","2222,874","2002,619","1290,011","1203,194","1191,517","1391,966","1357,66","1449,044","1494,348","1509,576","1541,175","1650,348","1670,089","1703,199","1773,963","1858,309","1934,83","2108,801","2251,553","2591,481","2820,767","3454,31","3559,692","3736,645","3852,89","3915,87","4050,139","4137,283","4169,99","4181,254","4237,443","4314,243","4411,709","4288,805","4412,028","4666,199",4929.731,3235.142
89,Kenya,855.471,"776,778","721,655","644,505","646,568","622,803","716,685","758,168","759,5","728,334","737,217","674,688","644,604","434,817","505,909","623,714","686,847","677,772","742,089","647,889","617,147","617,055","611,901","668,483","692,718","778,333","854,992","1028,239","1118,769","1123,268","1176,311","1178,599","1396,22","1490,422","1613,101","1625,176","1688,852","1805,398","1983,028","2107,735","2072,81","2219,239","2255,48",2258.053,1402.5819999999999
90,Kiribati,710.42,"734,209","670,98","620,845","667,442","499,974","479,459","529,522","649,788","627,533","594,271","642,924","643,903","621,703","715,435","720,549","847,867","840,499","806,333","833,736","803,324","734,58","827,798","1020,831","1132,962","1214,941","1168,998","1377,365","1456,192","1331,192","1512,468","1726,239","1783,594","1715,889","1628,35","1537,93","1587,423","1649,393","1696,174","1513,51","1519,519","1705,808","1672,824",1731.738,1021.3180000000001
91,"Korea, Republic of",1714.62,"1883,456","1992,29","2198,939","2413,291","2482,4","2834,888","3554,62","4748,676","5817,065","6609,985","7637,199","8126,451","8886,386","10381,18","12565,033","13402,925","12416,754","8271,412","10666,862","12263,471","11563,04","13159,675","14672,418","16482,75","19398,494","21730,952","24083,338","21387,709","19139,732","23077,161","25100,188","25459,168","27179,519","29252,933","28737,439","29274,232","31600,735","33447,154","31902,417","31728,304","35003,822","33591,577",34767.205,33052.585
93,Kuwait,20966.177,"17631,854","14417,541","12973,988","13410,421","12670,687","9653,473","10956,483","9640,407","11359,505","8588,145","7960,513","13989,932","16213,488","13549,775","13871,989","15068,13","13740,681","11424,919","13358,134","17012,776","15108,112","15759,074","18786,749","21585,563","27014,773","31907,199","33732,522","42827,126","30414,739","32216,413","41657,444","45726,188","44754,341","40278,045","27398,083","25267,146","27194,073","29903,564","28513,431","22683,638","28665,167","38123,224",35255.065,14288.888000000003
95,Lao P.D.R.,596.196,"341,873","334,404","596,412","831,39","1017,414","691,926","473,879","300,081","360,325","414,261","474,15","528,183","578,467","654,369","741,537","753,99","696,054","259,296","270,226","323,04","324,75","335,686","405,322","468,205","535,248","672,947","800,15","983,374","1045,979","1201,126","1412,137","1581,818","1830,284","1997,957","2138,833","2323,281","2452,861","2567,549","2620,925","2546,097","2513,244","2172,151",1984.289,1388.0929999999998
98,Lesotho,340.852,"337,16","273,569","293,235","267,36","208,686","233,93","291,915","322,488","325,872","382,327","427,81","477,277","465,397","480,692","514,122","490,549","516,861","475,868","466,514","453,282","374,971","410,133","592,302","738,561","791,265","809,56","930,798","868,532","1011,42","1222,197","1324,607","1261,443","1191,994","1250,627","1106,83","1105,765","1166,068","1150,976","1122,337","999,205","1181,104","1186,744",1208.123,867.2710000000001
100,Libya,13449.648,"11107,625","10575,644","9671,452","8681,163","8586,407","6733,969","6002,067","5981,627","6070,096","7424,17","8026,293","7950,512","6998,262","6391,134","7102,861","7608,817","7663,003","6171,767","7294,482","7625,01","6693,083","3956,483","4986,326","6180,388","8739,202","10561,373","11801,274","14762,577","10202,806","12478,016","8132,317","14728,067","12025,599","9166,555","7706,743","7817,63","10414,137","11773,757","10526,294","7056,745","5813,324","6025,68",6391.76,-7057.887999999999
102,Luxembourg,17666.745,"15190,085","12464,023","12234,668","11984,274","12393,783","17950,002","22149,518","24875,488","26226,903","33066,888","35346,49","39061,02","39483,057","43306,887","50705,085","49718,865","44202,559","45636,553","49341,225","48984,173","48719,11","53227,552","66160,476","77030,646","81728,632","91478,072","108343,849","121616,145","110249,419","112049,15","120526,246","113953,492","121423,168","125200,137","106710,076","107948,199","111211,579","118466,355","114357,509","117063,654","136701,396","127672,531",128819.444,111152.69900000001
104,Madagascar,599.371,"534,073","522,936","498,801","404,876","383,873","427,478","307,636","297,42","288,402","347,714","280,355","311,649","331,998","279,38","295,539","368,663","309,351","310,104","292,558","307,335","350,5","334,838","387,055","298,635","335,388","355,397","459,855","561,654","488,901","492,67","553,45","538,541","560,939","548,905","481,807","489,439","528,379","535,948","531,75","477,545","506,905","521,578",539.635,-59.73599999999999
105,Malawi,460.392,"447,79","416,18","419,657","400,328","358,713","354,471","327,758","354,718","384,328","420,593","523,591","422,469","483,263","278,145","319,894","512,064","583,417","373,078","368,272","352,65","338,478","384,137","345,163","365,696","377,042","400,898","432,115","504,65","571,113","623,414","695,331","506,3","446,999","484,322","497,737","415,016","466,559","501,113","543,685","567,59","558,872","522,963",482.55,22.158000000000015
106,Malaysia,1926.963,"1920,127","2006,482","2189,553","2419,501","2154,458","1864,031","2070,009","2213,866","2380,512","2585,824","2885,098","3380,219","3717,374","4028,37","4672,139","5176,282","4996,967","3520,915","3762,771","4347,727","4189,053","4441,812","4740,324","5244,861","5678,747","6354,977","7485,942","8771,026","7550,251","9054,109","10413,693","10815,088","10858,449","11172,4","9663,283","9544,246","9969,495","11086,113","11231,539","10361,276","11407,678","13107,875",13942.624,12015.661
107,Maldives,412.508,"464,914","534,906","560,243","646,388","737,78","835,636","769,824","897,934","987,814","1091,55","1184,664","1343,012","1479,446","1591,14","1903,127","2107,605","2553,949","2658,803","2842,658","2967,253","2780,451","2952,215","3690,792","4238,041","3960,43","5268,793","6128,48","7337,951","7450,805","8086,697","8078,305","8719,582","9766,235","10787,471","11781,029","12348,712","13200,955","14479,839","15056,424","9882,737","13539,302","15097,148",16439.527,16027.018999999998
108,Mali,286.454,"229,416","198,621","187,965","184,082","182,083","249,094","286,223","283,437","340,745","381,395","380,32","381,039","369,975","275,823","348,164","347,271","317,786","321,178","323,608","270,663","307,708","336,179","393,308","440,758","489,293","523,071","597,55","697,011","700,95","710,854","837,458","779,118","805,046","848,522","751,553","780,509","829,713","895,211","879,08","863,787","918,129","857,976",876.084,589.6299999999999
109,Malta,3811.847,"3691,859","3467,399","3262,692","3114,332","3126,09","3953,405","4898,042","5522,986","5728,285","6811,662","7215,068","7945,163","7009,556","7684,416","8978,862","9107,638","9147,98","9621,951","9983,877",10482,"10447,791","11346,456","13730,313","15260,887","15930,142","16818,012","19696,182","22378,184","21223,678","21842,065","23222,385","22674,787","24972,679","27080,097","25228,175","25897,872","29295,32","32175,984","31866,528","28997,27","33667,367","32912,469",33792.944,29981.097
112,Mauritius,1268.107,"1186,583","1124,4","1179,733","1080,41","1085,141","1454,116","1827,431","2104,548","2146,046","2555,86","2781,631","3091,412","3148,796","3446,307","3902,222","3993,479","3703,632","3701,865","3859,149","4102,593","4026,943","4196,429","5005,417","5626,004","5516,198","5695,975","6574,664","8030,052","7318,126","8000,376","9197,043","9291,236","9637,016","10151,727","9258,563","9681,416","10485,014","11205,369","11099,233","8625,9","8827,236","9111,606",9831.895,8563.788
113,Mexico,3383.685,"4238,762","3002,229","2390,4","2755,013","2859,223","1937,362","2080,398","2493,816","2979,921","3450,198","4059,987","4624,006","5636,355","5841,023","3920,738","4405,105","5283,079","5477,928","6157,249","7166,141","7558,975","7607,443","7088,462","7501,914","8303,985","9102,514","9680,432","10053,737","8029,296","9299,455","10232,411","10271,406","10758,984","10967,113","9657,118","8788,588","9342,92","9753,667","10025,539","8528,109","10061,534","10947,978",11250.506,7866.821
118,Morocco,1225.162,"969,427","953,625",842,"752,276","741,671","956,731","1030,891","1193,495","1200,484","1351,477","1418,36","1453,799","1340,915","1482,246","1600,891","1745,451","1561,011","1644,07","1614,862","1486,874","1489,701","1573,474","1914,006","2163,479","2232,943","2427,111","2759,515","3189,202","3162,861","3134,699","3367,347","3224,711","3463,601","3527,712","3235,57","3235,218","3401,256","3615,592","3622,679","3375,265","3934,31","3896,214",4067.572,2842.41
119,Mozambique,396.816,"300,914","300,392","263,659","270,38","353,788","413,827","187,301","164,966","171,727","271,733","272,614","191,23","189,937","187,082","187,295","241,649","283,513","313,064","346,574","319,358","296,268","302,546","326,075","383,27","416,811","435,334","482,198","563,649","520,403","471,904","594,586","657,645","664,078","673,969","589,86","428,927","461,415","504,536","508,164","454,063","491,839","542,095",578.905,182.089
123,Nepal,150.32,"171,788","169,629","181,32","187,418","190,268","202,463","205,448","236,915","234,002","234,93","250,449","221,485","231,46","235,438","249,269","250,955","266,826","259,85","262,135","272,997","275,947","275,646","287,747","326,363","362,378","395,692","446,328","536,55","545,357","675,597","801,829","804,141","823,321","844,495","901,75","899,524","1048,454","1178,526","1194,957","1158,552","1208,771","1292,959",1371.215,1220.895
124,Netherlands,13750.491,"11429,727","11013,574","10682,307","9904,974","10008,042","13875,191","16895,4","17956,109","17597,26","21581,579","22057,794","24191,955","23356,332","24935,531","29350,802","29084,068","26808,388","28018,706","28393,845","26327,855","26996,17","29401,972","35814,268","40477,3","42054,884","44936,006","51880,384","58015,396","52807,447","51165,823","54342,114","50175,559","52276,986","53026,478","45302,804","46165,177","48799,874","53224,694","52672,504","52222,364","57996,912","56297,803",57628.607,43878.116
125,New Zealand,7245.874,"7502,04","7369,526","7063,323","6959,7","6942,517","8372,339","11187,924","13641,732","13101,222","13440,096","12425,793","11755,018","12535,612","14607,342","16938,736","18504,602","18205,45","14888,907","15347,397","14020,44","13669,672","15706,814","20461,053","24848,791","27384,485","26220,693","31914,646","31763,881","28269,099","33393,86","38060,064","39683,244","42084,297","44283,209","38213,549","39426,128","42293,952","42765,322","42342,994","41390,925","48317,418","47278,493",49008.471,41762.596999999994
127,Niger,609.433,"510,028","458,113","395,659","310,002","295,81","378,695","430,394","426,027","394,734","435,341","394,9","393,718","343,177","211,016","241,954","243,965","224,475","250,234","231,66","197,275","207,769","227,424","267,409","285,388","320,923","335,334","389,256","477,27","462,267","476,062","511,488","528,918","551,554","562,885","484,171","497,882","517,771","572,564","553,905","568,348","595,235","561,222",573.571,-35.861999999999966
130,Norway,15746.262,"15484,681","15196,29","14906,174","14968,787","15728,224","18853,07","22445,038","24143,118","24245,447","28187,181","28514,498","30432,89","27880,632","29236,375","34790,001","37225,29","36561,409","34717,064","36278,339","38047,948","38494,685","42997,959","50046,34","57512,221","66687,757","73970,24","84915,639","96563,223","79746,888","87356,193","100197,171","101129,905","102576,68","96657,575","74115,155","70223,817","75306,667","82082,117","75594,048","67265,894","89041,586","92645,973",88748.76,73002.49799999999
131,Oman,5357.779,"6019,899","6317,029","6148,449","6324,402","7025,7","5214,195","5145,493","5001,098","5278,566","7267,924","6806,242","7213,061","6995,28","7010,595","7284,846","7869,076","7983,97","6920,864","7554,515","9266,358","9088,213","9285,343","9792,637","11042,532","13563,457","15946,355","17716,421","25061,257","19235,875","21677,793","23518,573","24129,012","23328,489","23219,693","18924,97","17020,387","17731,849","19885,103","19069,311","16640,426","18966,247","23541,507",23193.169,17835.39
134,Panama,2071.041,"2288,369","2469,136","2477,122","2527,53","2614,785","2658,349","2613,099","2211,665","2171,726","2312,985","2489,709","2770,951","2963,32","3095,157","3099,915","3580,929","3791,269","4027,322","4136,061","4111,712","4094,966","4172,689","4312,62","4638,716","4965,212","5401,562","6127,034","7110,228","7532,399","8039,764","9314,687","10674,487","11841,893","12756,952","13606,597","14344,087","15178,301","15612,598","15877,566","12615,878","14664,31","16172,621",17153.673,15082.631999999998
135,Papua New Guinea,1380.844,"1319,408","1223,39","1194,658","1079,594","975,967","1039,809","1159,833","1565,167","1455,035","1265,882","1444,104","1546,581","1713,713","1834,984","1581,631","1639,773","1527,441","1138,365","1013,232","1007,517","862,099","814,701","995,275","1111,943","1269,526","1411,902","1576,159","1883,527","1833,09","2132,185","2552,043","2865,783","2800,173","2992,711","2742,919","2567,582","2755,488","2861,448","2877,577","2809,516","3049,938","3427,214",3569.296,2188.4519999999998
136,Paraguay,1299.661,"1608,463","1636,527","1762,992","1390,886","1154,145","1335,761","1084,695","1392,417","977,835","1185,277","1585,242","1592,055","1580,207","1681,396","1897,134","2008,188","2003,578","1824,648","1706,395","1675,793","1577,681","1312,083","1377,521","1693,886","1857,78","2285,125","2988,684","4054,044","3623,931","4329,69","5301,834","5153,417","5892,846","6065,282","5360,077","5265,061","5608,156","5703,324","5299,667","4885,396","5279,387","5615,392",5906.583,4606.922
137,Peru,1164.828,"1373,068","1332,455","1011,725","1018,785","861,599","1263,729","2040,65","1579,545","1908,456","1301,465","1530,736","1562,58","1487,861","1839,228","2147,428","2193,686","2272,351","2141,114","1903,93","1940,238","1935,546","2017,765","2159,744","2408,091","2669,214","3106,719","3587,798","4209,038","4179,71","5055,521","5736,12","6407,63","6647,517","6583,999","6164,215","6207,429","6776,888","7051,59","7006,337","6145,031","6678,888","7004,793",7353.429,6188.601000000001
138,Philippines,774.484,"829,816","843,471","735,714","678,342","645,597","615,047","666,915","744,307","816,961","828,821","830,407","946,762","949,733","1094,543","1237,311","1316,406","1279,835","988,487","1112,353","1087,287","1003,957","1050,297","1062,619","1137,068","1261,267","1470,825","1764,683","2011,633","1923,674","2237,157","2473,249","2721,252","2903,189","2995,504","3039,234","3107,646","3153,314","3279,519","3512,195","3325,836","3576,101","3597,483",3763.696,2989.212
139,Poland,1595.047,"1497,841","1803,464","2056,958","2042,04","1899,817","1965,541","1691,129","1819,392","1772,091","1629,047","2105,486","2315,647","2351,742","2692,704","3612,264","4066,179","4075,977","4459,097","4348,147","4485,064","4987,859","5205,517","5699,557","6684,675","8023,921","9031,797","11252,863","13999,496","11532,283","12619,616","13879,525","13096,89","13688,355","14272,29","12563,614","12438,523","13868,906","15468,264","15726,878","15801,557","17945,751","19023,228",20045.238,18450.191000000003
140,Portugal,3338.764,"3296,654","3095,096","2838,655","2596,075","2716,645","3774,582","4724,451","5532,62","5977,577","7957,244","9026,301","10863,487","9547,643","9977,615","11787,315","12187,582","11594,755","12216,689","12487,712","11531,467","11734,878","12927,584","15793,852","18055,893","18790,561","19840,474","22813,667","24946,256","23126,175","22539,038","23213,126","20576,825","21653,505","22109,318","19252,015","19986,362","21482,834","23573,299","23333,317","22176,752","24296,069","24910,413",25486.345,22147.581000000002
141,Puerto Rico,4507.15,"4940,784","5146,929","5257,186","5777,438","6058,641","6495,499","6987,398","7579,339","8094,29","8675,576","9093,48","9687,443","10255,532","10942,949","11667,589","12305,024","12968,394","14430,159","15293,182","16192,127","18243,709","18972,77","19820,208","20988,989","21959,317","22935,951","23664,874","24898,335","25768,726","26435,742","27278,853","27944,742","28513,15","28981,343","29755,35","30585,55","31347,273","32789,063","32785,938","32645,395","34751,943","38442,851",40360.177,35853.027
142,Qatar,27242.483,"27819,566","22657,373","18003,756","17496,536","15495,701","11644,458","11773,23","10853,896","11039,938","13150,172","11500,519","13038,976","11797,162","12009,396","13689,653","15143,479","18841,6","15421,783","19689,651","30461,311","28600,029","30701,131","35919,758","42548,115","54357,783","60591,776","65934,266","72484,634","53822,909","69796,138","96827,857","101933,117","99180,39","93054,141","66346,911","57965,377","59127,513","66421,617","63007,696","53797,937","68621,644","82886,789",89416.443,62173.96
143,Romania,2052.081,"2450,352","2441,211","2125,157","1710,302","2101,997","2264,368","2517,949","2593,057","2314,744","1641,855","1241,063","847,68","1147,325","1317,048","1563,117","1565,472","1571,689","1885,349","1600,881","1661,714","1802,675","2113,596","2672,811","3483,726","4604,45","5740,402","8262,407","10385,848","8517,598","8194,719","9075,961","8491,033","9530,441","10021,543","8942,2","9520,439","10776,672","12361,143","12863,245","12908,811","14794,858","15618,842",16227.527,14175.446
145,Rwanda,292.782,"320,559","329,641","339,297","317,361","364,611","399,283","428,416","442,811","447,143","417,717","298,957","317,043","325,858","223,451","245,276","268,93","345,662","338,306","284,166","266,055","248,99","242,079","257,475","277,634","334,407","368,508","442,135","545,188","584,677","612,224","674,655","728,668","730,465","748,658","755,951","755,737","784,138","797,48","836,716","804,188","854,106","912,744",967.735,674.953
146,Saint Kitts and Nevis,1338.747,"1609,725","1847,251","1829,835","2144,801","2406,13","2851,256","3289,063","3926,955","4392,77","4969,878","4912,915","5386,942","5806,085","6407,518","6819,77","7195,174","8010,438","8260,891","8670,829","9279,584","9962,552","10304,318","9922,475","10566,955","11256,635","13095,2","13845,794","15451,231","15215,837","15136,905","16076,845","15710,513","16464,037","17753,633","17654,127","18397,052","19144,1","19269,742","20600,562","17179,482","16467,439","19128,582",20392.194,19053.447
147,Saint Lucia,1460.566,"1644,56","1530,981","1626,185","2045,254","2277,65","2681,815","2919,984","3292,757","3665,974","4318,353","4508,777","4875,118","4919,333","5025,99","5268,224","5360,217","5381,926","5769,087","5993,941","5974,607","5648,003","5651,436","6143,315","6562,958","6906,08","7617,155","7905,251","8375,139","8495,818","8942,422","9370,899","9450,413","9723,404","10133,558","10371,025","10610,102","11261,695","11511,572","11646,007","8377,892","9287,907","10762,966",11678.357,10217.791
148,Saint Vincent and the Grenadines,903.445,"1110,425","1227,421","1309,102","1435,282","1537,223","1686,1","1828,411","2077,695","2211,424","2456,285","2584,104","2815,081","2896,038","2924,036","3188,478","3340,515","3500,225","3755,704","3922,719","3973,449","4284,994","4518,089","4710,272","5082,069","5353,688","5933,621","6572,506","6740,48","6564,113","6613,132","6544,688","6686,015","6988,344","7028,297","7154,784","7390,469","7675,532","8001,555","8228,633","7878,665","7948,507","8546,1",9431.212,8527.767
151,Saudi Arabia,17655.087,"18832,078","14912,688","11972,195","10558,736","8732,759","6955,067","6524,173","6398,832","6583,297","7734,968","8280,174","8077,748","7685,993","7626,361","7893,412","8527,656","8706,346","7525,302","8092,705","9256,515","8778,41","8822,493","9800,521","11467,103","14068,215","15603,985","16666,601","20157,29","16094,686","19163,342","23654,859","25208,174","24892,984","24929,318","21063,315","20288,897","21113,962","24438,46","23485,075","20088,522","23507,276","27941,493",27008.76,9353.672999999999
152,Senegal,767.972,"677,895","645,372","559,501","529,936","563,251","773,09","902,228","865,668","828,149","936,148","894,485","930,568","852,61","560,956","693,418","706,864","642,569","686,369","689,683","614,004","648,446","680,83","831,623","931,745","993,237","1027,786","1197,551","1403,795","1307,516","1272,622","1366,534","1318,614","1372,686","1397,017","1219,373","1269,553","1361,221","1458,73","1436,224","1465,244","1606,604","1558,144",1639.347,871.375
154,Seychelles,2329.353,"2403,455","2293,938","2280,452","2338,076","2588,553","3165,945","3638,988","4128,118","4407,201","5302,844","5314,655","6128,346","6559,088","6555,429","6748,825","6583,091","7280,929","7715,784","7747,491","7578,829","7663,083","8431,923","8524,935","10176,659","11093,314","12014,418","12155,702","11480,433","9707,265","10805,099","11647,017","11999,897","14762,223","15189,416","15199,436","15887,009","16659,124","17059,796","17454,845","12981,866","14861,485","20265,681",21320.351,18990.998
155,Sierra Leone,479.601,"501,744","552,581","469,374","539,979","450,535","330,043","281,362","451,564","405,247","219,455","261,748","228,231","259,186","308,752","295,71","318,646","286,074","223,939","218,906","205,251","228,033","251,704","265,323","264,775","285,106","323,259","360,425","409,443","391,213","401,835","448,324","566,37","716,148","713,53","592,903","525,948","495,812","533,972","521,396","508,812","509,482","493,572",471.606,-7.9950000000000045
156,Singapore,5004.992,"5672,105","6000,032","6717,837","7160,262","6788,387","6870,769","7794,688","9328,951","10725,743","12763,342","14501,96","16136,244","18290,132","21552,408","24914,851","26232,869","26375,868","21829,278","21796,642","23852,834","21699,748","22159,833","23730,379","27608,075","29961,308","33768,446","39432,895","40008,577","38926,813","47236,672","53891,462","55547,546","56967,426","57564,802","55645,607","56858,505","61149,62","66857,273","65833,2","60727,616","72794,906","79426,141",84500.411,79495.419
159,Solomon Islands,793.126,"812,613","782,732","711,899","691,205","611,271","529,413","540,763","598,343","570,057","689,006","709,335","815,269","885,84","1153,332","1306,619","1381,745","1385,672","1171,2","1215,243","1017,406","965,95","795,547","788,627","867,004","1014,727","1119,606","1260,254","1389,07","1428,612","1604,149","1938,79","2131,462","2250,738","2274,897","2168,622","2227,007","2310,831","2474,433","2417,324","2243,993","2332,982","2239,622",2329.277,1536.151
161,South Africa,3074.684,"3122,686","2806,158","3062,892","2633,905","1955,165","2176,064","2801,31","2954,825","3004,44","3425,585","3587,879","3802,578","3716,193","3786,21","4145,21","3869,7","3937,658","3508,14","3423,595","3382,066","2964,029","2791,18","4209,22","5415,089","6033,211","6276,173","6776,465","6355,879","6552,265","8130,193","8799,477","8207,059","7458,04","6984,926","6256,667","5750,785","6678,292","6972,702","6609,041","5661,013","6965,188","6738,926",6812.818,3738.134
