,Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Change in gdp per capita
22,Bolivia,695.535,"615,66","668,55","619,896","631,152","668,921","640,94","683,625","712,146","715,525","723,431","776,711","803,547","793,646","805,183","886,368","956,965","1006,102","1057,72","1010,58","994,617","949,383","904,851","908,203","968,545","1037,176","1226,845","1383,894","1729,369","1769,441","1972,684","2368,523","2635,933","2938,421","3114,966","3069,319","3110,874","3388,523","3588,089","3591,403","3172,556","3449,384","3631,335",3791.358,3095.8230000000003
24,Botswana,1281.65,"1110,876","1130,197","1204,322","1153,418","1035,551","1354,241","2046,746","2563,555","2761,856","2939,88","2857,355","2868,706","2810,534","2945,134","3241,828","3245,043",3228,"3033,182","3350,85","3457,838","3260,578","3165,091","4306,454","4994,989","5465,344","5402,854","5633,943","5601,705","5179,67","6359,637","7497,568","6818,885","6919,46","7406,85","6380,274","6982,945","7303,674","7556,094","7247,454","6348,809","7337,466","7347,738",7462.962,6181.312
25,Brazil,1229.883,"1382,548","1446,228","1134,932","1105,852","1719,515","1955,069","2087,445","2289,424","3087,928","3106,116","2677,837","2523,736","2787,164","3495,239","4851,99","5204,574","5321,137","5123,549","3501,438","3772,05","3177,94","2856,026","3089,141","3660,02","4819,872","5921,179","7390,653","8878,359","8649,578","11333,023","13295,899","12424,949","12358,342","12175,681","8846,475","8757,304","9978,089","9194,149","8914,171","6840,658","7563,562","8857,47",9571.81,8341.927
27,Bulgaria,3673.235,"3950,229","4108,111","4211,107","4465,379","3820,536","3382,438","3926,053","6433,109","6580,664","2919,823","288,506","1183,155","649,649","1155,796","1958,07","1494,786","1386,466","1854,468","1689,293","1625,322","1797,392","2090,683","2710,577","3370,382","3869,588","4477,028","5811,847","7156,176","6878,061","6753,335","7872,043","7454,003","7702,783","7925,691","7098,587","7596,464","8414,389","9489,641","9914,32","10119,909","11745,571","12505,009",13220.578,9547.342999999999
28,Burkina Faso,349.672,"297,167","270,123","240,72","209,724","225,945","288,783","327,429","352,095","342,864","395,875","389,6","406,069","376,711","220,468","265,238","280,453","258,109","287,604","300,311","255,082","267,099","294,457","374,534","418,187","458,187","473,475","535,125","643,334","623,497","648,365","751,041","758,48","787,481","793,051","653,393","688,061","734,737","813,468","786,929","831,013","887,282","824,884",831.309,481.63699999999994
29,Burundi,232.381,"234,94","241,083","247,995","218,999","247,644","253,424","231,932","211,184","213,175","207,113","207,674","187,243","162,572","157,474","167,177","142,588","157,054","141,755","133,412","130,225","127,349","116,392","108,066","122,381","148,71","164,575","170,174","195,79","208,78","231,549","247,097","250,118","255,319","273,133","304,243","281,062","291,859","271,289","261,294","259,906","273,956","292,619",307.87,75.489
30,Cabo Verde,541.435,"522,81","517,666","499,536","466,312","476,329","645,817","783,24","861,862","853,014","957,369","974,873","1062,47","1046,265","1180,486","1378,161","1385,771","1322,336","1376,757","1541,831","1399,088","1387,33","1501,545","1935,48","2188,003","2298,396","2571,824","3110,447","3636,128","3416,224","3312,035","3672,583","3388,875","3557,871","3532,994","2996,362","3082,157","3239,066","3963,62","3947,491","3359,764","3748,98","3600,223",3708.274,3166.839
32,Cameroon,1004.846,"1106,193","1031,862","1012,33","1041,933","1059,933","1344,534","1514,218","1493,9","1292,834","1255,123","1357,676","1207,539","1222,984","808,04","745,55","808,211","794,939","772,304","765,544","660,382","687,404","756,14","949,02","1089,418","1101,546","1147,497","1277,667","1439,39","1409,942","1353,407","1464,888","1404,412","1527,773","1604,627","1382,65","1412,866","1468,929","1585,96","1533,161","1539,354","1667,318","1584,003",1608.536,603.69
33,Canada,11281.422,"12396,666","12543,938","13493,198","13947,358","14185,922","14539,75","16408,139","19041,182","20842,455","21572,137","21885,57","20984,778","20210,452","20024,581","20706,725","21325,69","21930,485","21046,556","22340,553","24296,721","23859,714","24279,186","28338,745","32176,593","36439,62","40558,897","44716,985","46773,837","40990,625","47627,345","52285,937","52744,004","52708,61","51020,843","43626,47","42382,635","45191,993","46625,859","46403,986","43306,635","52015,069","56794,018",59178.976,47897.554000000004
34,Central African Republic,313.369,"316,495","298,747","279,719","265,441","340,227","431,342","465,181","490,939","474,879","539,656","502,896","489,786","418,922","268,106","340,988","298,443","285,804","296,103","290,99","238,505","242,794","260,865","310,302","336,409","356,688","381,315","427,313","485,807","482,648","492,078","551,028","566,199","380,304","424,67","377,476","402,053","450,744","488,442","480,173","494,518","525,154","495,936",515.479,202.11
35,Chad,163.554,"189,349","178,888","174,759","182,983","192,956","230,715","253,529","287,003","262,413","306,217","293,844","296,666","251,096","196,901","233,418","250,861","232,968","254,121","215,939","188,139","223,102","250,264","330,959","513,888","661,203","712,529","803,018","932,601","805,798","895,354","985,629","970,738","982,92","1024,838","776,105","700,558","671,18","713,426","689,327","653,088","697,372","743,373",754.589,591.0350000000001
36,Chile,2597.549,"3025,261","2219,443","1774,259","1698,55","1434,097","1514,712","1755,798","2034,857","2305,093","2520,977","2849,074","3391,291","3571,257","4057,604","5152,669","5386,14","5796,345","5474,114","4980,135","5096,34","4606,789","4478,908","4824,733","6184,409","7559,845","9414,678","10445,43","10751,477","10162,886","12710,955","14552,058","15313,565","15743,269","14583,039","13494,113","13717,576","14994,25","15739,912","14567,634","12968,523","16065,041","15603,613",17281.123,14683.574
37,"China, People's Republic of",306.98,"288,491","279,971","296,509","301,111","292,99","279,908","299,842","368,079","406,534","346,873","356,759","420,025","520,966","468,658","603,526","703,06","774,91","820,903","865,236","951,163","1044,958","1141,14","1282,21","1499,712","1751,368","2095,239","2691,048","3446,695","3813,408","4499,803","5553,242","6282,709","7039,574","7645,875","8034,287","8063,446","8760,259","9848,949","10170,061","10525,001","12561,687","12970,328",13629.256,13322.276
38,Colombia,1681.741,"1792,253","1878,094","1827,16","1767,172","1622,996","1592,199","1623,392","1714,211","1693,401","1690,417","1711,649","1985,733","2208,302","2725,705","3034,076","3135,79","3397,944","3089,643","2672,575","2534,444","2460,326","2423,363","2312,597","2826,04","3493,976","3836,682","4834,416","5622,109","5330,806","6498,585","7518,304","8237,293","8409,7","8312,056","6337,03","6037,133","6577,287","6923,64","6540,141","5368,324","6158,91","6644,492",6939.548,5257.807
39,Comoros,684.569,"584,519","541,617","513,524","490,137","482,697","629,744","741,276","772,133","731,08","868,945","895,707","955,474","916,695","660,355","806,805","789,145","714,272","701,452","703,067","628,071","675,05","757,399","949,68","1055,357","1085,659","1110,984","1251,857","1403,796","1351,145","1322,638","1450,159","1403,417","1500,731","1505,178","1231,135","1256,035","1300,566","1386,014","1359,75","1357,291","1393,928","1299,682",1302.156,617.587
40,"Congo, Dem. Rep. of the",2730.694,"2301,277","2422,242","1891,283","1221,72","1080,898","1174,016","1075,998","1206,847","1188,851","1192,38","1120,914","973,197","1222,443","639,608","601,803","750,736","642,729","461,123","410,453","397,025","146,542","171,076","171,505","189,173","215,172","248,176","280,397","316,269","289,689","326,681","379,705","417,545","450,642","479,602","490,698","459,14","460,832","553,88","573,292","536,45","603,228","660,21",703.907,-2026.7869999999998
41,"Congo, Republic of ",1362.75,"1083,721","916,547","808,393","721,033","717,264","951,697","1121,613","1157,519","1150,77","1310,373","1326,741","1398,92","1249,625","839,501","973,005","1097,225","967,806","823,561","949,351","1268,422","1037,327","1109,284","1255,568","1617,326","2058,304","2436,377","2586,304","3346,18","2722,039","3597,956","4175,34","4607,39","4559,725","4438,243","2873,72","2395,178","2555,443","3062,923","2800,287","2206,386","2634,223","2945,102",2843.888,1481.138
42,Costa Rica,2108.75,"1111,35","1071,935","1257,355","1421,164","1478,366","1611,323","1612,564","1598,038","1763,481","1880,75","2305,412","2684,089","2926,911","3110,155","3336,709","3277,614","3450,907","3653,153","3715,408","3941,14","4041,943","4122,829","4227,819","4483,59","4756,337","5309,271","6194,045","6993,896","6879,266","8268,859","9270,571","10107,452","10764,529","10853,638","11635,197","11986,918","12185,259","12428,924","12691,127","12117,607","12435,577","13089,857",13805.033,11696.283
44,Cyprus,4549.59,"4352,502","4452,666","4399,223","4575,652","4824,674","6057,903","7188,216","8204,3","8635,765","10359,998","10413,726","12158,597","11342,407","12525,318","15396,919","15260,362","14323,919","15181,803","15379,835","14464,816","14905,024","16188,394","20389,178","23969,645","25527,252","27448,569","31774,607","36009,56","32650,265","31438,962","32819,465","28993,69","27601,694","26995,186","23428,592","24692,372","26746,283","29546,547","29411,884","27783,759","30957,168","29534,735",30239.866,25690.276
46,Côte d'Ivoire,1736.221,"1406,871","1215,248","1043,542","1012,116","993,889","1280,028","1355,587","1357,326","1248,332","1327,006","1240,002","1268,082","1142,984","835,236","1073,949","1152,482","1084,69","1137,461","1088,344","920,472","935,446","1009,639","1216,937","1282,215","1287,97","1308,58","1458,236","1697,048","1657,596","1650,956","1660,451","1686,73","1919,162","2115,189","1932,222","1971,618","2066,845","2265,294","2227,982","2279,02","2533,744","2418,436",2496.548,760.3269999999998
47,Denmark,13886.37,"12076,174","11801,273","11852,891","11561,767","12259,279","17215,426","21349,948","22528,114","21913,155","26920,581","27052,653","29622,474","27640,496","30050,878","35471,255","35732,689","32897,57","33426,974","33492,354","30798,717","30806,607","33275,556","40512,045","46571,283","48872,095","52121,249","58641,193","64531,119","58286,537","58177,162","61864,093","58623,414","61325,575","62729,499","53478,495","54862,848","57772,553","61724,492","59678,596","61005,841","68202,07","65713,412",66393.635,52507.26499999999
50,Dominican Republic,1534.317,"1677,447","1545,099","1562,13","2397,598","1022,611","1212,354","1245,272","1113,835","1230,744","1123,244","1365,232","1573,686","1741,669","1916,439","2141,061","2309,916","2495,032","2658,543","2674,828","2894,303","3007,381","3158,393","2460,554","2540,849","4008,356","4188,715","4803,473","5194,799","5151,172","5688,751","6063,35","6274,865","6413,934","6805,662","7139,507","7521,268","7874,941","8340,961","8595,611","7553,509","8986,176","10573,148",11405.053,9870.736
51,Ecuador,2097.141,"2087,382","2026,375","1732,499","1794,733","2044,313","1461,92","1332,147","1234,671","1182,529","1173,126","1286,617","1375,712","1572,842","1858,323","1980,373","2037,13","2253,233","2257,861","1598,768","1461,838","1909,424","2180,386","2434,977","2700,118","3025,012","3351,476","3588,311","4267,473","4241,938","4633,247","5192,875","5664,886","6030,502",6347,"6099,351","6046,302","6216,606","6318,477","6260,603","5670,33","5978,915","6412,728",6587.976,4490.834999999999
52,Egypt,580.042,"617,659","711,351","846,388","925,97","1049,33","1132,456","1585,217","1858,029","2266,442","1870,847","923,843","825,448","897,202","968,914","1098,086","1209,49","1327,405","1454,957","1518,197","1636,752","1566,199","1355,278","1252,404","1195,597","1331,362","1563,739","1862,164","2271,232","2578,884","2922,796","3077,343","3379,013","3404,341","3566,092","3827,953","3797,105","2592,686","2710,1","3214,31","3802,4","4144,422","4504,369",4437.417,3857.3750000000005
53,El Salvador,827.158,"721,105","706,494","672,516","488,784","471,502","469,937","472,147","543,469","611,47","914,131","983,18","1073,311","1216,701","1380,708","1585,109","1684,786","1778,838","1886,36","1930,623","2001,538","2072,3","2124,103","2209,497","2278,432","2428,57","2631,82","2786,158","2933,395","2858,479","2983,23","3266,011","3428,409","3509,53","3589,041","3705,578","3805,992","3910,253","4052,622","4165,035","3786,963","4408,473","4883,047",5075.822,4248.664
54,Equatorial Guinea,123.403,"109,806","121,292","126,408","130,117","205,657","241,443","284,263","296,908","253,241","312,102","299,071","351,662","343,493","245,881","333,846","527,121","965,017","777,254","1251,452","1885,985","2616,487","3107,854","5424,13","8214,073","10810,445","12743,347","15782,688","22834,435","16596,742","17153,165","21479,995","21556,417","20252,748","19271,286","11217,985","9202,539","9624,532","9968,089","8355,342","7181,47","8447,959","11264,416",10086.865,9963.462
57,Eswatini,1329.789,"1359,195","1174,424","1167,158","963,592","736,012","909,797","1149,956","1320,95","1305,673","1558,18","1574,778","1703,465","1747,48","1851,22","2160,27","2005,245","2105,168","1914,241","1861,496","1818,67","1599,207","1473,717","2235,678","2797,022","3174,588","3262,223","3402,163","3214,488","3479,71","4263,91","4603,196","4628,132","4325,841","4133,645","3766,458","3513,8","4031,056","4225,743","4031,719","3535,09","4164,801","4056,177",4188.604,2858.8150000000005
58,Ethiopia,215.178,"215,599","220,557","237,661","217,423","246,507","247,981","256,699","257,56","262,233","269,082","287,651","293,35","176,465","151,965","142,808","154,564","147,254","129,859","121,551","128,621","123,892","116,452","120,601","138,282","164,937","198,696","244,495","326,82","351,341","324,285","361,829","493,321","535,264","613,101","702,767","790,82","829,313","852,011","968,253","994,197","995,67","1097,584",1226.096,1010.918
