country,Emissions_per_capita,GDP_per_capita
Afghanistan,0.1941546769485122,1290.9438766168412
Africa,1.1053194237526125,
Africa (GCP),,
Aland Islands,,
Albania,1.5716457747321613,5966.018977241518
Algeria,3.279488678186284,8197.893060851473
American Samoa,,
Andorra,5.295768829571084,
Angola,0.7117543627305318,2642.254768912717
Anguilla,8.975861489347697,
Antarctica,,
Antigua and Barbuda,4.181962864027573,
Argentina,3.9188906471768052,14850.33334113889
Armenia,1.7792373174713756,8040.367303274839
Aruba,14.026079624130656,
Asia,2.940943232571896,
Asia (GCP),,
Asia (excl. China and India),,
Australia,17.01997754096597,35505.671964028195
Austria,7.98072549655787,33033.662760280335
Azerbaijan,4.833770932600256,8999.947663378824
Bahamas,7.010510895873683,
Bahrain,23.605709994436904,19724.27098910891
Bangladesh,0.2603124727766917,1849.3349242915901
Barbados,4.157517984203901,12432.890384591614
Belarus,7.3892428178397305,12226.685447743354
Belgium,10.940710888737577,31826.634863822674
Belize,1.5600622144227372,
Benin,0.29680865351338953,1793.0579448372218
Bermuda,8.961553527872312,
Bhutan,0.6806548520480862,
Bolivia,1.3136852448041094,4233.030968778728
Bonaire Sint Eustatius and Saba,5.142853518771246,
Bosnia and Herzegovina,4.1933628441753905,7304.635924843752
Botswana,1.9430503463126894,7939.891031211338
Brazil,1.8729602960806508,10612.440078312635
British Virgin Islands,5.691764996384744,
Brunei,17.838333131179272,
Bulgaria,7.2477138847205,11393.267095962789
Burkina Faso,0.11100693756047172,1240.6285436031658
Burundi,0.0391694835163077,849.2660863464678
Cambodia,0.2944442513862094,2007.4261998069728
Cameroon,0.338449384265738,2335.8201421510626
Canada,16.713074747422098,35426.04841004309
Cape Verde,0.6644870366579171,3593.657173441658
Central African Republic,0.054775995781384236,986.1559454119327
Central America (GCP),,
Chad,0.07482702921963702,1066.2523643773472
Chile,3.3633255847874635,14658.490333341988
China,4.136043634246948,5891.8640643899835
Christmas Island,,
Colombia,1.668151275597842,9260.378457043382
Comoros,0.2047062933867409,1341.2529076262988
Congo,0.5950898287732326,4407.193593923503
Cook Islands,3.1698285240780826,
Costa Rica,1.3308351876108184,9487.64617379066
Cote d'Ivoire,0.44075208364282775,2727.4381189704072
Croatia,4.338139721077259,14241.92425423284
Cuba,2.524106028137785,5091.201836814936
Curacao,32.264924195730345,
Cyprus,6.374166486632491,17361.932500767758
Czechia,13.161423451792684,18914.03147118666
Democratic Republic of Congo,0.058380270072786296,745.8345280831248
Denmark,9.64421012956639,36245.31997120075
Djibouti,0.5720284260615918,2182.1085442919466
Dominica,1.542452471023732,6057.946358533621
Dominican Republic,1.8714281643141628,7261.650060440681
Ecuador,2.0456374930583276,7722.028982387293
Egypt,1.8142852360205415,6639.173656628831
El Salvador,0.8290932133120554,5337.59926081846
Equatorial Guinea,3.3021910521365276,12040.004592471718
Eritrea,0.2221380014356957,
Estonia,15.810525358412107,18637.08537621288
Eswatini,0.8859952504432349,5057.14828868507
Ethiopia,0.07481818281642598,998.012834851236
Europe,9.030208280137229,
Europe (GCP),,
Europe (excl. EU-27),,
Europe (excl. EU-28),,
European Union (27),,
European Union (27) (GCP),,
European Union (28),,
